dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std,total_requests,script_requests,wasm_requests,unique_hosts
crypto,site_9,cryptojacking,0.0525744,0.031767349,1788108,92607368.4,578939.0309,113,38,0,22
crypto,site_92,cryptojacking,0.0018894,0.001102768,864,612948,275.739007,7,0,0,3
crypto,site_99,cryptojacking,0.0072291,0.004028369,32348,2492840.4,9813.467391,13,1,0,5
benign,site_0,benign,0.0083957,0.004910418,864,12596848,275.739007,34,0,0,5
benign,site_10,benign,0.089057,0.056539465,1224824,23875194,537744.0013,49,22,0,4
benign,site_100,benign,0.0050781,0.002802564,864,504016,275.739007,4,0,0,2
benign,site_101,benign,0.2298379,0.152043183,864,6825408,275.739007,35,16,1,5
benign,site_102,benign,0.0125314,0.005968422,21896,9951458,6529.682688,33,13,0,5
benign,site_103,benign,0.0051023,0.00318921,864,504388,275.739007,4,0,0,2
benign,site_106,benign,0.0093688,0.006195494,245412,40567034.4,93511.20684,146,62,0,16
benign,site_107,benign,0.0025604,0.001769618,864,504024,275.739007,3,0,0,1
benign,site_108,benign,0.0212284,0.00924522,1312,868446.4,420.6630956,14,1,0,6
benign,site_109,benign,0.1268312,0.072891439,-210140,24086182.8,1955287.954,64,21,0,13
benign,site_11,benign,0.2144749,0.1998503,-8024680,51644706,3338321.313,92,29,0,16
benign,site_110,benign,0.0488433,0.034547021,21580224,25509550.4,6951480.256,12,0,0,3
benign,site_111,benign,0.0198136,0.011554795,56820,1067770,18140.94677,18,0,0,2
benign,site_112,benign,0.5837244,0.381126926,12877988,56852776.4,4229282.223,186,65,0,41
benign,site_114,benign,0.0030681,0.001675936,1236,4201162.4,409.2967628,58,5,0,6
benign,site_116,benign,0.0032026,0.001454518,6492,24136366,1827.979212,56,20,0,9
benign,site_118,benign,0.0051217,0.003169439,864,618568,275.739007,9,0,0,4
benign,site_119,benign,0.0022148,0.00147638,864,504024,275.739007,3,0,0,1
benign,site_12,benign,0.0051485,0.003004301,864,504020,275.739007,4,0,0,2
benign,site_120,benign,0.0022002,0.001413462,864,504024,275.739007,3,0,0,1
benign,site_121,benign,0.0037722,0.002231593,912,6357792,296.863605,43,23,0,3
benign,site_122,benign,0.0029555,0.001668624,864,2003212,275.739007,23,6,0,3
benign,site_123,benign,0.7782728,0.319083753,17976296,45020444.4,5340937.764,287,134,0,25
benign,site_124,benign,1.2972332,0.829972492,134616,20627182,41077.06861,105,28,0,38
