dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std
benign,site_42,benign,0.005221,0.0031440057569921847,864,979424.0,275.7390070338254
benign,site_43,benign,0.0519914,0.03379242598334722,-8693624,39604635.6,4366458.163374961
benign,site_45,benign,0.2539511,0.1354806302306348,5934004,36170149.2,1937583.041546803
benign,site_46,benign,0.0181554,0.011333814831732517,64436,13049944.4,25286.568858585775
benign,site_48,benign,0.0051548,0.0025307916864096107,11852,10508701.2,3355.3673062721464
benign,site_49,benign,0.0693907,0.04205523270426642,190164,31468997.6,62691.23871674574
benign,site_5,benign,0.0032791,0.002068320789916303,864,504020.0,275.7390070338254
benign,site_50,benign,0.0299415,0.016030337172062228,696292,29562910.8,209001.44835517288
benign,site_51,benign,0.0070663,0.0048440578454432195,147808,4606656.8,65564.30591838824
benign,site_53,benign,0.008652299999999998,0.005345652065931713,864,11563628.0,275.7390070338254
benign,site_55,benign,0.0037732999999999994,0.0024184983378121227,864,504084.0,275.7390070338254
benign,site_56,benign,0.0075753,0.004624800948149012,13660,4049810.0,6639.388224829152
benign,site_57,benign,0.10377340000000002,0.046888309155268114,-12612240,44876054.8,4660440.389329764
benign,site_58,benign,0.2641191,0.08865863154645463,3770368,55516524.8,1122661.1028556034
benign,site_59,benign,0.004736300000000001,0.0025433184248143214,864,6066608.0,275.7390070338254
benign,site_6,benign,0.9645830999999999,0.5958217547031075,762012,77999638.4,231520.12750653017
benign,site_62,benign,0.052703,0.033406863228983355,3128388,49400264.8,1173911.5999042518
benign,site_64,benign,0.094326,0.05895277001804071,2680,1975294.4,861.4893150817369
benign,site_65,benign,0.5444045,0.30472205358957855,-4163004,16288904.0,1782031.0926580378
benign,site_67,benign,0.3907699,0.18149147053206108,-15007544,289527869.6,15577479.260929601
benign,site_68,benign,0.0037714,0.0022723106829832932,864,934896.0,275.7390070338254
benign,site_69,benign,0.40860399999999997,0.41833109362680654,5468332,30910665.2,2409532.366144468
benign,site_7,benign,0.0066619,0.004044797212469371,1032,10708880.0,351.29474803930674
benign,site_70,benign,0.09811289999999999,0.06738451434780843,21638380,25630922.8,6946968.603640595
benign,site_72,benign,0.0052762,0.0030987307982462756,864,504016.0,275.7390070338254
benign,site_74,benign,0.0380394,0.01894290612445725,145668,7503271.2,52965.366761309226
benign,site_76,benign,0.0056443000000000005,0.0034090913466787603,864,504500.0,275.7390070338254
benign,site_77,benign,0.010847100000000002,0.00737100813254198,134236,3405697.2,59843.21686674272
benign,site_78,benign,2.5788937999999995,1.6845359781551594,-1308248,22355695.6,858799.4697463664
benign,site_79,benign,0.4197702,0.27399585268751786,1413368,19766462.4,588568.1022201594
benign,site_8,benign,0.044149400000000005,0.027549559492667026,6543932,45491905.6,3251217.9661866785
benign,site_81,benign,0.007903700000000001,0.004625154030948591,2968,7937539.2,984.1329991418843
benign,site_82,benign,0.0052507,0.00311844140717763,864,504112.0,275.7390070338254
benign,site_83,benign,0.09012440000000001,0.05204444661287119,203164,30744382.4,60325.499621967494
benign,site_84,benign,1.3720265,0.7798499764062636,-10491724,31358300.0,5820352.1681077685
benign,site_86,benign,0.0108225,0.0057437972674877725,1596,14604646.0,621.021738749941
benign,site_87,benign,0.0060276999999999996,0.003696616616583332,884,1429580.0,284.14081016284865
benign,site_88,benign,1.6671547999999998,0.5948260992874809,26804860,61345061.2,7985954.050584573
benign,site_89,benign,0.0217528,0.009574674655569243,42088,16198028.0,13582.217786503057
benign,site_9,benign,0.019486800000000002,0.010457915631711702,54688,37668328.0,17822.969539333226
benign,site_90,benign,0.5122578,0.1829885570645334,-684000,10086902.8,1071099.0495031541
benign,site_92,benign,0.07939660000000001,0.03775834033746716,1023864,19622623.2,349368.7535051754
benign,site_93,benign,0.0182113,0.010620614351816,16604,10302616.4,5288.3795476497335
benign,site_94,benign,0.1629889,0.1375125224955531,8564024,45553870.4,2568333.5222010086
benign,site_97,benign,0.4876385,0.3429466140338026,714828,12518110.0,224575.2200132508
benign,site_98,benign,0.0055603,0.003111475342984418,864,504016.0,275.7390070338254
benign,site_99,benign,0.5354688,0.3424765309149811,649388,16758540.4,1934819.0451280556
